,UserStory,Label
428,i need to schedule meetings with other students,Task
429,i can correct problems for members,Hard-goal
430,"i want to be able to change the colors of the embedded visualisations in my own platform ,",Capability
431,"i want to send or post citations and fines ,",Capability
432,i want to have links to my disparate class websites ( including piazza and edx ) collected in one place,Capability
433,i can prevent spamming on the websites,Capability
434,"i want to have pretty good control over how the article ,",Soft-goal
435,"i want to move on to round 3 of the help page edits ,",Capability
436,"i want to embed a preview button on my site ,",Capability
437,"i want to be able to download an image ofa particular view state ,",Capability
438,i can get approvals from leadership,Hard-goal
439,i can develop an awesome and beautiful features website,Soft-goal
440,i can save money,Hard-goal
441,"i want an app that acts as a match - making service for packaging data ,",Capability
442,"i want to write an article for the site with a small graphic shown with the article showing my csp or cst status ,",Capability
443,i'm not confused with the amounts,Soft-goal
444,"i want to be able to dynamically request polygons based on the query made ,",Capability
445,"i want to have updated error codes that accurately reflect the logic and provide enough information ,",Capability
446,"i want to use a command line tool that allows met to validate data ,",Capability
447,"i want to store my data package in github and have it automatically stored into ckan ,",Capability
448,i do not have to convert data formats in order to use the data packager,Hard-goal
449,"i want to submit application ,",Capability
450,"i want to fill out an application to become a certified scrum trainer ,",Capability
451,i want to have the system email me a new password or a password reminder since i have short - term memory problems,Capability
452,i can have consistent frec data for,Hard-goal
453,i want to have a secured way of payment,Capability
454,i want to have personalized financial data,Capability
455,i can use data packages in workflows that involve ms - sql,Capability
456,"i want to see a list of all upcoming certification courses and can page through them if there are a lot ,",Capability
457,"i can record work in process , outcome , and location - based information related to the plan(s )",Capability
458,"i want to read a new article on the front page about once a week ,",Capability
459,"i want to set start publishing dates , old article date , and stop publishing dates for articles ,",Capability
460,"i want to see correct status labels on the submission dashboard ,",Capability
461,i want to determine how agencies will generate and validate d files from fabs and fpds data,Task
462,i can quickly see my submission history,Capability
463,"i want to be able to hide any dataset already added as public ,",Capability
464,i can integrate data - packaged data with pipelines that use hdf5,Capability
465,"i want to link the sample file on the "" what you want   to submit "" dialog to point to the correct file ,",Capability
466,"we would like to have a shared space to post flyers , to promote events",Capability
467,"i like to keep my personal , work / club and course email separate",Capability
468,"i want to describe myself on my own page in a semi - structured way ,",Capability
469,i can create my own profile,Capability
470,i can easily use data packages with additional data analysis tools,Soft-goal
471,i want to find volunteer opportunities,Capability
472,"i want to have my name listed in the registry without becoming a member of the site ,",Capability
473,"i want to apply a hold ,",Capability
474,i know how to use the web app,Soft-goal
475,i want to have access to a usable service following the standard,Capability
476,i can maintain public / hidden status for other users,Capability
477,i don't bounce immediately oï¬€ the page,Soft-goal
478,"i want to get a data package into c++ in seconds ,",Capability
479,"i want to edit and delete help wanted ads ,",Capability
480,i come to the site for my agile news and learning,Capability
481,"i want to view a course i can click on the trainer's name and be taken to the trainer's profile ,",Capability
482,"i want to be able to normalise measures by gdp ,",Capability
483,i want to have the 12 - 19 - 2017 deletions processed,Capability
484,"i want to search the ride by source , destination , date and time",Capability
485,i want to upload and validate the error message to have accurate text,Capability
486,"i want to copy one of my courses or events ,",Capability
487,"i want to load an excel file into the site ,",Capability
488,others can learn about me,Soft-goal
489,i can integrate data - packaged data with pipelines that use feather,Capability
490,i can make sure i know all that i need to do,Soft-goal
491,i can start using the data for doing analysis and visualizations,Task
492,i want the historical fpds data loader to include both extracted historical data and fpds feed data,Capability
493,i could be the driver or rider,Hard-goal
494,i want to be sent an email welcoming me to the scrum alliance and with instructions to register or activate my membership once my name has been loaded to the registry,Capability
495,users can be encouraged that this is the correct data for them,Soft-goal
496,i want to be able to access the site and do all the other stuffs on all of my electronic devices,Task
497,"i want an dspace integration ,",Capability
498,"i want to create the content of the what is scrum section ,",Capability
499,my departure place is specified by default,Capability
500,employers or others can verify my certification,Soft-goal
501,"i want to be able to give my email id ,",Capability
502,i need a place to see everything i need to do today,Capability
503,i need to figure out what email is important to me ( one suggestion : good subject lines ),Capability
504,i want to rate my journey or trip,Capability
505,i can publish and distribute the report according to business rules,Task
506,i want to see the top destination,Capability
507,"i want to be assured that no one can submit the same answers multiple time and skew my results ,",Capability
508,i stay current on agile news,Soft-goal
509,"i want to be able to import data from fiscal data package descriptor file ,",Capability
510,"i want to successfully conduct a plan review meeting with the applicant and record the outcome ,",Capability
511,i can determine which ones i should consider,Capability
512,i don't get lost navigating,Soft-goal
513,"i want to accurately see who created a submission ,",Capability
514,"i want to be able to understand if a user is an administrator ,",Soft-goal
515,"i want to search for property information ,",Task
516,"i need to be notified when geospatial attributes change ,",Capability
517,"i want to update one of my existing courses or events ,",Capability
518,"i want to track the completion of required plan reviews ,",Capability
519,i can receive any posted bond and/or obtain occupancy,Capability
520,i want to be sure that usaspending only send grant records to my system,Soft-goal
521,i'd like to see how much i owe on my ucb bill,Capability
522,i can go extend the ad,Capability
523,"i want to pay fee ,",Task
524,i can perform management actions on any dataset,Task
525,i can investigate issues,Task
526,"i want d files generation requests to be managed and cached ,",Task
527,"i want to subscribe to an rss feed of upcoming courses and events ,",Capability
528,site visitors can decide if they want to read the rest,Soft-goal
529,i get a data api and my dataset is listed in a relevant catalog,Capability
530,i want to provide fabs groups that function under the frec paradigm,Capability
531,i can arrange drop - offs on my off days or during after - work hours,Capability
532,i can get a temporary password in case i forget my own one,Capability
533,"i want to scroll through a listing of jobs ,",Capability
534,i can satisfy communication and records responsibilities,Soft-goal
535,i want to receive notification of grades when they are posted,Capability
536,"i want to determine the best way to load historical fpds data ,",Capability
537,i want to see information from callisto & the career center when thinking about getting a job,Capability
538,i can track hearing - related activities and due dates,Capability
539,"i want to remove a hold ,",Capability
540,no one can contact me,Soft-goal
541,"i want to be emailed a reminder seven day before an ad is about to expire ,",Capability
542,"i want to clearly understand notifications and how they are difference from other calendar - related items such as assignments ,",Soft-goal
543,i want to update the broker validation rule table to account for the rule updates in db-2213,Capability
544,"i want to connect with people who have similar interests , possibly by sharing my interests",Capability
545,there is a benefit to being a member,Soft-goal
546,i am aware of it and can decide if i want to post it,Capability
547,owners are paired with data packagers,Capability
548,i can be totally on top of my progress,Capability
549,i can get recommendations for recycling centers that best fit my availability,Capability
550,"i want to report to the agencies about user testing ,",Capability
551,"i want a portable , accessible way to keep track of what i need to do",Soft-goal
552,i can correct small problems or make sure each ad complies with site guidelines,Capability
553,i can find a suitable customer,Capability
554,i want to suggest the mood of mind,Capability
555,important information will not be stolen during a server breach or an attack,Soft-goal
556,i want to be able to keep separate my personal ( and club ) tasks from my work ( academic ) tasks,Soft-goal
557,i can access things i remember from the past or that others mention to me,Capability
558,"i want to be able to import data in excel ,",Capability
559,i can keep them updated about features we have on our website,Soft-goal
560,i come back more often,Soft-goal
561,"i want an integration with ,",Capability
562,"i want to reply to user questions ,",Capability
563,i can present the application to the appropriate governing body within the timelines dictated by the relevant county rules and procedures,Task
564,"i want to satisfy hearing requirements ,",Soft-goal
